Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate,Fetched From
34,tnaflix.com,Adult,4,00:03:59,3.86,40.69%,Adult
35,getallmylinks.com,Adult,4,00:01:29,1.6,69.74%,Adult
36,xgroovy.com,Adult,=,00:04:47,4.24,38.28%,Adult
37,dmsik.com,Adult,3,00:00:28,1.1,93%,Adult
38,rule34.xxx,Adult,5,00:09:27,30.68,21.33%,Adult
39,clickadu.net,Adult,=,00:02:16,3.44,35.01%,Adult
40,txnhh.com,Adult,10,00:07:06,9.57,28.71%,Adult
41,qorno.com,Adult,=,00:03:45,5.41,14.46%,Adult
42,xhamster2.com,Adult,11,00:08:11,7.33,26.89%,Adult
43,redtube.com,Adult,4,00:05:51,6.27,35.97%,Adult
44,pornzog.com,Adult,2,00:02:49,3.52,37.37%,Adult
45,bankingbloatedcaptive.com,Adult,3,00:04:18,3.89,23.6%,Adult
46,sxyprn.com,Adult,5,00:10:03,11.48,16.63%,Adult
47,love4porn.com,Adult,2,00:02:57,3.63,25.29%,Adult
48,bunkr.cr,Adult,208,00:10:00,11.96,23.76%,Adult
49,manatoki468.net,Adult,=,00:13:44,10.08,24.22%,Adult
50,nhentai.net,Adult,4,00:11:08,41.34,15.76%,Adult
1,bilibili.com,Arts & Entertainment > Animation and Comics,=,00:21:55,13.54,14.84%,Arts & Entertainment
2,zonatmo.com,Arts & Entertainment > Animation and Comics,=,00:16:48,12.87,27.75%,Arts & Entertainment
3,aniwatchtv.to,Arts & Entertainment > Animation and Comics,=,00:16:38,6.51,28.92%,Arts & Entertainment
4,cmoa.jp,Arts & Entertainment > Animation and Comics,=,00:13:12,13.47,32.27%,Arts & Entertainment
5,demonicscans.org,Arts & Entertainment > Animation and Comics,2,00:16:21,5.98,26.56%,Arts & Entertainment
6,spoilerplus.tv,Arts & Entertainment > Animation and Comics,=,00:18:26,10.25,19.37%,Arts & Entertainment
7,animeflv.net,Arts & Entertainment > Animation and Comics,1,00:11:16,4.62,40.1%,Arts & Entertainment
8,mgeko.cc,Arts & Entertainment > Animation and Comics,2,00:16:47,8.11,28.73%,Arts & Entertainment
9,mechacomic.jp,Arts & Entertainment > Animation and Comics,=,00:15:08,13.69,24.49%,Arts & Entertainment
10,xbato.com,Arts & Entertainment > Animation and Comics,33,00:21:31,8.39,34.82%,Arts & Entertainment
11,mangajikan.com,Arts & Entertainment > Animation and Comics,15,00:18:58,10.58,27.31%,Arts & Entertainment
12,mangadex.org,Arts & Entertainment > Animation and Comics,6,00:08:03,27.66,29.05%,Arts & Entertainment
13,9animetv.to,Arts & Entertainment > Animation and Comics,4,00:14:42,5.41,31.91%,Arts & Entertainment
14,jut.su,Arts & Entertainment > Animation and Comics,5,00:19:42,3.98,36.19%,Arts & Entertainment
15,mangaraw.best,Arts & Entertainment > Animation and Comics,5,00:24:04,12.95,20.74%,Arts & Entertainment
16,mangakoma01.com,Arts & Entertainment > Animation and Comics,=,00:23:48,8.5,25.53%,Arts & Entertainment
17,chapmanganato.to,Arts & Entertainment > Animation and Comics,3,00:18:26,8.27,30.1%,Arts & Entertainment
18,weebcentral.com,Arts & Entertainment > Animation and Comics,43,00:17:37,7.8,30.41%,Arts & Entertainment
19,kingofshojo.com,Arts & Entertainment > Animation and Comics,3,00:17:32,7.08,36.05%,Arts & Entertainment
20,miruro.tv,Arts & Entertainment > Animation and Comics,17,00:14:05,5.1,34.21%,Arts & Entertainment
21,syosetu.is,Arts & Entertainment > Animation and Comics,=,00:07:11,4.88,33.37%,Arts & Entertainment
22,mangaraw.plus,Arts & Entertainment > Animation and Comics,11,00:04:00,2.87,72.49%,Arts & Entertainment
23,mangago.me,Arts & Entertainment > Animation and Comics,4,00:14:09,20.94,23.39%,Arts & Entertainment
24,manhuatop.org,Arts & Entertainment > Animation and Comics,1,00:17:47,8.37,36.95%,Arts & Entertainment
25,zonamiau.com,Arts & Entertainment > Animation and Comics,5,00:16:23,5.89,35.21%,Arts & Entertainment
26,mangalib.me,Arts & Entertainment > Animation and Comics,2,00:13:29,20.46,33%,Arts & Entertainment
27,mangaraw.ma,Arts & Entertainment > Animation and Comics,6,00:22:08,13.22,13.93%,Arts & Entertainment
28,manhwaclan.com,Arts & Entertainment > Animation and Comics,3,00:15:32,7.58,33.65%,Arts & Entertainment
29,templetoons.com,Arts & Entertainment > Animation and Comics,=,00:06:30,4.17,52.12%,Arts & Entertainment
30,lekmanga.net,Arts & Entertainment > Animation and Comics,4,00:16:33,7.22,33.68%,Arts & Entertainment
31,eternalmangas.com,Arts & Entertainment > Animation and Comics,11,00:16:09,5.33,40.59%,Arts & Entertainment
32,otakudesu.cloud,Arts & Entertainment > Animation and Comics,4,00:13:26,6.68,41.3%,Arts & Entertainment
33,lightnovelworld.co,Arts & Entertainment > Animation and Comics,7,00:28:52,7.7,33.11%,Arts & Entertainment
34,manhwaweb.com,Arts & Entertainment > Animation and Comics,33,00:19:35,8.43,33.19%,Arts & Entertainment
35,piccoma.com,Arts & Entertainment > Animation and Comics,3,00:13:30,13.71,27.53%,Arts & Entertainment
36,vymanga.com,Arts & Entertainment > Animation and Comics,=,00:13:02,8.58,38.76%,Arts & Entertainment
37,kakuyomu.jp,Arts & Entertainment > Animation and Comics,1,00:19:18,9.98,33.82%,Arts & Entertainment
38,foodib.net,Arts & Entertainment > Animation and Comics,"1,452",00:17:09,6.91,25.69%,Arts & Entertainment
39,motoratrium.com,Arts & Entertainment > Animation and Comics,26,00:08:12,5.81,9.3%,Arts & Entertainment
40,mangabuddy.com,Arts & Entertainment > Animation and Comics,1,00:16:47,9.4,32.31%,Arts & Entertainment
41,tresdaos.com,Arts & Entertainment > Animation and Comics,18,00:12:54,5.9,42.76%,Arts & Entertainment
42,mangarawjp.me,Arts & Entertainment > Animation and Comics,32,00:23:40,13.51,18.5%,Arts & Entertainment
43,rinconcitoverde.xyz,Arts & Entertainment > Animation and Comics,12,00:21:02,6.25,33.15%,Arts & Entertainment
44,webtoons.com,Arts & Entertainment > Animation and Comics,13,00:11:21,6.73,34.7%,Arts & Entertainment
45,manganato.com,Arts & Entertainment > Animation and Comics,6,00:05:41,3.63,39.99%,Arts & Entertainment
46,manhuaus.com,Arts & Entertainment > Animation and Comics,2,00:09:07,5.81,30.78%,Arts & Entertainment
47,usagi.one,Arts & Entertainment > Animation and Comics,1,00:32:04,10.75,27.93%,Arts & Entertainment
48,mangafire.to,Arts & Entertainment > Animation and Comics,23,00:13:13,7.41,42.44%,Arts & Entertainment
49,anime-sama.fr,Arts & Entertainment > Animation and Comics,10,00:08:26,4.97,37.21%,Arts & Entertainment
50,manhuagui.com,Arts & Entertainment > Animation and Comics,1,00:11:53,25.27,29.58%,Arts & Entertainment
1,fandom.com,Arts & Entertainment > Arts and Entertainment - Other,=,00:04:47,4.37,49.62%,Arts & Entertainment
2,dcinside.com,Arts & Entertainment > Arts and Entertainment - Other,=,00:12:36,15.09,21.78%,Arts & Entertainment
3,nate.com,Arts & Entertainment > Arts and Entertainment - Other,=,00:06:19,11.65,22.91%,Arts & Entertainment
4,syosetu.com,Arts & Entertainment > Arts and Entertainment - Other,=,00:20:16,9.87,26.25%,Arts & Entertainment
5,123av.com,Arts & Entertainment > Arts and Entertainment - Other,=,00:08:11,11.6,25.33%,Arts & Entertainment
6,freepik.com,Arts & Entertainment > Arts and Entertainment - Other,=,00:07:41,9.43,31.69%,Arts & Entertainment
7,2345.com,Arts & Entertainment > Arts and Entertainment - Other,=,00:01:53,1.76,72.65%,Arts & Entertainment
8,go.com,Arts & Entertainment > Arts and Entertainment - Other,=,00:02:42,2.44,58.84%,Arts & Entertainment
9,twimg.com,Arts & Entertainment > Arts and Entertainment - Other,=,00:04:03,4.17,58.44%,Arts & Entertainment
10,douban.com,Arts & Entertainment > Arts and Entertainment - Other,1,00:04:52,8.91,34.86%,Arts & Entertainment
11,bilibili.tv,Arts & Entertainment > Arts and Entertainment - Other,1,00:06:04,3.6,50.47%,Arts & Entertainment
12,bookmyshow.com,Arts & Entertainment > Arts and Entertainment - Other,2,00:04:48,4.03,49.77%,Arts & Entertainment
13,pudelek.pl,Arts & Entertainment > Arts and Entertainment - Other,1,00:03:24,2.28,45.57%,Arts & Entertainment
14,oricon.co.jp,Arts & Entertainment > Arts and Entertainment - Other,1,00:00:58,2.28,61.56%,Arts & Entertainment
15,tmz.com,Arts & Entertainment > Arts and Entertainment - Other,3,00:02:16,2.38,56.87%,Arts & Entertainment
16,unext.jp,Arts & Entertainment > Arts and Entertainment - Other,1,00:08:19,4.93,35.03%,Arts & Entertainment
17,suki-kira.com,Arts & Entertainment > Arts and Entertainment - Other,=,00:09:39,11.36,25.81%,Arts & Entertainment
18,gofundme.com,Arts & Entertainment > Arts and Entertainment - Other,2,00:01:51,2.58,54.84%,Arts & Entertainment
19,super.cz,Arts & Entertainment > Arts and Entertainment - Other,=,00:03:18,2.54,34.36%,Arts & Entertainment
20,mydramalist.com,Arts & Entertainment > Arts and Entertainment - Other,2,00:04:02,5.3,46.2%,Arts & Entertainment
21,pagesix.com,Arts & Entertainment > Arts and Entertainment - Other,14,00:01:18,1.95,63%,Arts & Entertainment
22,boredpanda.com,Arts & Entertainment > Arts and Entertainment - Other,2,00:03:39,2.58,39.02%,Arts & Entertainment
23,youku.com,Arts & Entertainment > Arts and Entertainment - Other,=,00:06:51,4.05,39.42%,Arts & Entertainment
24,pozdravok.com,Arts & Entertainment > Arts and Entertainment - Other,4,00:02:18,2.21,63.63%,Arts & Entertainment
25,myanimelist.net,Arts & Entertainment > Arts and Entertainment - Other,5,00:04:09,5.16,40.08%,Arts & Entertainment
26,deadline.com,Arts & Entertainment > Arts and Entertainment - Other,4,00:01:35,2.09,57.37%,Arts & Entertainment
27,tsite.jp,Arts & Entertainment > Arts and Entertainment - Other,2,00:04:29,6.1,29.71%,Arts & Entertainment
28,hollywoodreporter.com,Arts & Entertainment > Arts and Entertainment - Other,9,00:01:10,1.88,62.58%,Arts & Entertainment
29,goguynet.jp,Arts & Entertainment > Arts and Entertainment - Other,2,00:01:01,1.69,75.71%,Arts & Entertainment
30,ew.com,Arts & Entertainment > Arts and Entertainment - Other,6,00:01:08,1.6,63.12%,Arts & Entertainment
31,purepeople.com,Arts & Entertainment > Arts and Entertainment - Other,10,00:01:54,2.09,61.24%,Arts & Entertainment
32,viki.com,Arts & Entertainment > Arts and Entertainment - Other,3,00:06:11,3.69,45.79%,Arts & Entertainment
33,syosetu.org,Arts & Entertainment > Arts and Entertainment - Other,7,00:18:28,10.33,23.76%,Arts & Entertainment
34,sps-system.com,Arts & Entertainment > Arts and Entertainment - Other,3,00:02:16,4.04,15.3%,Arts & Entertainment
35,lipstickalley.com,Arts & Entertainment > Arts and Entertainment - Other,3,00:13:25,8.44,29.73%,Arts & Entertainment
36,voici.fr,Arts & Entertainment > Arts and Entertainment - Other,7,00:01:33,2.25,60.18%,Arts & Entertainment
37,hola.com,Arts & Entertainment > Arts and Entertainment - Other,5,00:01:44,2.13,54.24%,Arts & Entertainment
38,natalie.mu,Arts & Entertainment > Arts and Entertainment - Other,5,00:01:00,2.05,60.55%,Arts & Entertainment
39,jastrzabpost.pl,Arts & Entertainment > Arts and Entertainment - Other,1,00:01:21,1.81,53.53%,Arts & Entertainment
40,pomponik.pl,Arts & Entertainment > Arts and Entertainment - Other,6,00:00:50,1.95,36.03%,Arts & Entertainment
41,lecturas.com,Arts & Entertainment > Arts and Entertainment - Other,4,00:01:26,2.06,47.12%,Arts & Entertainment
42,ngl.link,Arts & Entertainment > Arts and Entertainment - Other,4,00:02:58,2.57,39.88%,Arts & Entertainment
43,timeout.com,Arts & Entertainment > Arts and Entertainment - Other,1,00:01:23,1.85,50.14%,Arts & Entertainment
44,disney.go.com,Arts & Entertainment > Arts and Entertainment - Other,5,00:03:50,4.63,43.04%,Arts & Entertainment
45,b92.net,Arts & Entertainment > Arts and Entertainment - Other,3,00:05:33,3.86,29.23%,Arts & Entertainment
46,redbubble.com,Arts & Entertainment > Arts and Entertainment - Other,6,00:02:56,4.21,54.23%,Arts & Entertainment
47,tokyodisneyresort.jp,Arts & Entertainment > Arts and Entertainment - Other,=,00:06:44,5.95,40.1%,Arts & Entertainment
48,kapanlagi.com,Arts & Entertainment > Arts and Entertainment - Other,3,00:01:50,4.23,2.25%,Arts & Entertainment
49,wcostream.tv,Arts & Entertainment > Arts and Entertainment - Other,7,00:11:52,4.52,34.95%,Arts & Entertainment
50,familyclub.jp,Arts & Entertainment > Arts and Entertainment - Other,=,00:05:26,5.96,28.39%,Arts & Entertainment
1,archiveofourown.org,Arts & Entertainment > Books and Literature,=,00:15:22,8.29,29.26%,Arts & Entertainment
2,novelbin.com,Arts & Entertainment > Books and Literature,=,00:34:01,10.16,29.42%,Arts & Entertainment
3,wattpad.com,Arts & Entertainment > Books and Literature,=,00:18:29,12.61,34.64%,Arts & Entertainment
4,qidian.com,Arts & Entertainment > Books and Literature,2,00:15:01,15.51,28.04%,Arts & Entertainment
5,author.today,Arts & Entertainment > Books and Literature,2,00:12:11,4.79,35.84%,Arts & Entertainment
6,afrsportsbetting.com,Arts & Entertainment > Books and Literature,72,00:00:26,1.24,90.19%,Arts & Entertainment
7,fictionzone.net,Arts & Entertainment > Books and Literature,11,00:11:05,6.23,44.61%,Arts & Entertainment
8,litnet.com,Arts & Entertainment > Books and Literature,1,00:14:18,8.26,32.21%,Arts & Entertainment
9,69yuedu.net,Arts & Entertainment > Books and Literature,4,00:29:27,11.76,27.59%,Arts & Entertainment
10,knigavuhe.org,Arts & Entertainment > Books and Literature,4,00:03:20,2.65,60.99%,Arts & Entertainment
11,issuu.com,Arts & Entertainment > Books and Literature,2,00:01:54,1.99,64.05%,Arts & Entertainment
12,ficbook.net,Arts & Entertainment > Books and Literature,=,00:13:47,6.93,35.3%,Arts & Entertainment
13,mangabuff.ru,Arts & Entertainment > Books and Literature,6,00:22:10,11.0,26.57%,Arts & Entertainment
14,pensador.com,Arts & Entertainment > Books and Literature,2,00:01:28,1.59,61.31%,Arts & Entertainment
15,mtlnovels.com,Arts & Entertainment > Books and Literature,4,00:45:32,15.27,24.96%,Arts & Entertainment
16,wuxiabox.com,Arts & Entertainment > Books and Literature,6,00:41:44,18.18,21.24%,Arts & Entertainment
17,tvtropes.org,Arts & Entertainment > Books and Literature,=,00:10:24,7.86,33.24%,Arts & Entertainment
18,69shuba.cx,Arts & Entertainment > Books and Literature,3,00:23:45,11.58,27.29%,Arts & Entertainment
19,webnovel.com,Arts & Entertainment > Books and Literature,1,00:22:46,10.53,26.05%,Arts & Entertainment
20,69shuba.com,Arts & Entertainment > Books and Literature,131,00:35:55,12.97,25.52%,Arts & Entertainment
21,jjwxc.net,Arts & Entertainment > Books and Literature,2,00:15:06,9.08,38.7%,Arts & Entertainment
22,vitalsource.com,Arts & Entertainment > Books and Literature,4,00:16:53,20.57,22.02%,Arts & Entertainment
23,twkan.com,Arts & Entertainment > Books and Literature,19,00:32:10,12.12,23.58%,Arts & Entertainment
24,ranobes.top,Arts & Entertainment > Books and Literature,2,00:18:29,7.33,41.52%,Arts & Entertainment
25,spaggiari.eu,Arts & Entertainment > Books and Literature,1,00:07:44,8.9,18.24%,Arts & Entertainment
26,xbanxia.com,Arts & Entertainment > Books and Literature,7,00:26:15,7.7,34.47%,Arts & Entertainment
27,thriftbooks.com,Arts & Entertainment > Books and Literature,2,00:02:46,5.64,41%,Arts & Entertainment
28,stihi.ru,Arts & Entertainment > Books and Literature,3,00:04:07,5.94,40.31%,Arts & Entertainment
29,royalroad.com,Arts & Entertainment > Books and Literature,=,00:12:40,6.23,34.78%,Arts & Entertainment
30,overdrive.com,Arts & Entertainment > Books and Literature,3,00:03:33,5.14,36.4%,Arts & Entertainment
31,doramatv.one,Arts & Entertainment > Books and Literature,10,00:06:41,5.56,40.28%,Arts & Entertainment
32,epub.pub,Arts & Entertainment > Books and Literature,=,00:04:28,5.65,38.47%,Arts & Entertainment
33,noveldrama.org,Arts & Entertainment > Books and Literature,2,00:38:12,13.0,27.05%,Arts & Entertainment
34,bqg9527.cc,Arts & Entertainment > Books and Literature,6,00:19:54,9.0,27.99%,Arts & Entertainment
35,wtr-lab.com,Arts & Entertainment > Books and Literature,9,00:07:50,3.98,59.84%,Arts & Entertainment
36,hiconeg.com,Arts & Entertainment > Books and Literature,46,00:04:10,2.64,27%,Arts & Entertainment
37,52shuku.vip,Arts & Entertainment > Books and Literature,7,00:38:18,14.05,25.38%,Arts & Entertainment
38,fizzo.org,Arts & Entertainment > Books and Literature,18,00:09:57,2.28,57.24%,Arts & Entertainment
39,pawmanga.com,Arts & Entertainment > Books and Literature,2,00:13:02,8.05,35.1%,Arts & Entertainment
40,jaomix.ru,Arts & Entertainment > Books and Literature,4,00:33:24,7.7,29.25%,Arts & Entertainment
41,akniga.org,Arts & Entertainment > Books and Literature,1,00:02:48,2.56,57.66%,Arts & Entertainment
42,freewebnovel.com,Arts & Entertainment > Books and Literature,8,00:29:19,9.54,28.57%,Arts & Entertainment
43,loveread.ec,Arts & Entertainment > Books and Literature,2,00:24:25,8.52,27.93%,Arts & Entertainment
44,litgorod.ru,Arts & Entertainment > Books and Literature,10,00:10:07,4.63,37.26%,Arts & Entertainment
45,zinchangmanga.com,Arts & Entertainment > Books and Literature,6,00:08:29,5.31,31.1%,Arts & Entertainment
46,lubimyczytac.pl,Arts & Entertainment > Books and Literature,4,00:02:10,3.25,31.23%,Arts & Entertainment
47,litmarket.ru,Arts & Entertainment > Books and Literature,2,00:07:17,4.13,33.53%,Arts & Entertainment
48,ridibooks.com,Arts & Entertainment > Books and Literature,5,00:10:51,10.04,25.88%,Arts & Entertainment
49,wa01.com,Arts & Entertainment > Books and Literature,41,00:29:14,7.51,29.78%,Arts & Entertainment
50,proza.ru,Arts & Entertainment > Books and Literature,1,00:02:06,2.82,51.89%,Arts & Entertainment
1,pikabu.ru,Arts & Entertainment > Humor,=,00:05:10,3.5,38.04%,Arts & Entertainment
2,9gag.com,Arts & Entertainment > Humor,=,00:05:50,3.97,34.61%,Arts & Entertainment
3,pinimg.com,Arts & Entertainment > Humor,=,00:03:42,2.36,64.86%,Arts & Entertainment
4,fanfiction.net,Arts & Entertainment > Humor,=,00:15:07,7.96,30.85%,Arts & Entertainment
5,cheezburger.com,Arts & Entertainment > Humor,=,00:02:31,2.42,36.96%,Arts & Entertainment
6,insta-stories-viewer.com,Arts & Entertainment > Humor,=,00:03:13,3.1,31.11%,Arts & Entertainment
7,tenor.com,Arts & Entertainment > Humor,=,00:01:48,2.73,54.76%,Arts & Entertainment
8,change.org,Arts & Entertainment > Humor,=,00:01:38,2.62,47.05%,Arts & Entertainment
9,yaplakal.com,Arts & Entertainment > Humor,=,00:13:43,8.32,28.03%,Arts & Entertainment
10,fishki.net,Arts & Entertainment > Humor,=,00:11:05,8.09,31.49%,Arts & Entertainment
11,pleated-jeans.com,Arts & Entertainment > Humor,1,00:03:39,2.67,34.24%,Arts & Entertainment
12,demotywatory.pl,Arts & Entertainment > Humor,2,00:06:18,4.63,26.12%,Arts & Entertainment
13,knowyourmeme.com,Arts & Entertainment > Humor,2,00:01:16,2.56,53.37%,Arts & Entertainment
14,geediting.com,Arts & Entertainment > Humor,3,00:01:03,1.51,50.89%,Arts & Entertainment
15,thechive.com,Arts & Entertainment > Humor,1,00:06:16,4.94,30.43%,Arts & Entertainment
16,cracked.com,Arts & Entertainment > Humor,1,00:03:51,2.47,47.28%,Arts & Entertainment
17,joemonster.org,Arts & Entertainment > Humor,1,00:06:24,6.19,18.44%,Arts & Entertainment
18,anekdot.ru,Arts & Entertainment > Humor,3,00:04:25,3.17,43.13%,Arts & Entertainment
19,kwejk.pl,Arts & Entertainment > Humor,=,00:03:42,3.88,23.73%,Arts & Entertainment
20,fraviral.com,Arts & Entertainment > Humor,7,00:02:56,3.36,52.95%,Arts & Entertainment
21,kiwifarms.st,Arts & Entertainment > Humor,1,00:15:14,9.84,21.49%,Arts & Entertainment
22,xkcd.com,Arts & Entertainment > Humor,1,00:01:46,3.74,49.34%,Arts & Entertainment
23,joyreactor.cc,Arts & Entertainment > Humor,1,00:07:19,5.71,37.65%,Arts & Entertainment
24,notalwaysright.com,Arts & Entertainment > Humor,1,00:10:44,6.01,35.02%,Arts & Entertainment
25,mediatakeout.com,Arts & Entertainment > Humor,1,00:01:22,2.76,69.02%,Arts & Entertainment
26,finofilipino.org,Arts & Entertainment > Humor,2,00:06:29,3.01,43.29%,Arts & Entertainment
27,funnyjunk.com,Arts & Entertainment > Humor,3,00:12:41,26.18,25.23%,Arts & Entertainment
28,theonion.com,Arts & Entertainment > Humor,4,00:01:33,2.47,49.38%,Arts & Entertainment
29,thewrap.com,Arts & Entertainment > Humor,2,00:00:42,1.45,63.49%,Arts & Entertainment
30,fontmeme.com,Arts & Entertainment > Humor,1,00:02:32,4.16,55.86%,Arts & Entertainment
31,news.hometalk.com,Arts & Entertainment > Humor,3,00:02:37,1.72,58.43%,Arts & Entertainment
32,kakoysegodnyaprazdnik.ru,Arts & Entertainment > Humor,7,00:00:44,1.73,36.28%,Arts & Entertainment
33,idrlabs.com,Arts & Entertainment > Humor,2,00:04:24,3.57,48.75%,Arts & Entertainment
34,ebaumsworld.com,Arts & Entertainment > Humor,4,00:03:21,3.02,41.92%,Arts & Entertainment
35,watchpeopledie.tv,Arts & Entertainment > Humor,4,00:11:22,9.72,23.11%,Arts & Entertainment
36,mistrzowie.org,Arts & Entertainment > Humor,3,00:03:40,3.35,19.14%,Arts & Entertainment
37,anekdotov.net,Arts & Entertainment > Humor,4,00:07:09,3.41,43.63%,Arts & Entertainment
38,demotivateur.fr,Arts & Entertainment > Humor,1,00:01:46,1.51,59.01%,Arts & Entertainment
39,todayhumor.co.kr,Arts & Entertainment > Humor,3,00:04:09,8.03,47.72%,Arts & Entertainment
40,noblemtl.com,Arts & Entertainment > Humor,7,00:16:42,6.26,40.36%,Arts & Entertainment
41,dmate6.online,Arts & Entertainment > Humor,=,00:01:02,1.15,90.11%,Arts & Entertainment
42,vistoenlasredes.com,Arts & Entertainment > Humor,4,00:03:53,3.55,32.3%,Arts & Entertainment
43,animeone.cc,Arts & Entertainment > Humor,=,00:03:35,3.29,60.55%,Arts & Entertainment
44,sadistic.pl,Arts & Entertainment > Humor,2,00:06:36,4.28,23.39%,Arts & Entertainment
45,cuantarazon.com,Arts & Entertainment > Humor,5,00:04:51,3.69,29.18%,Arts & Entertainment
46,chamsko.pl,Arts & Entertainment > Humor,3,00:02:27,3.21,26.32%,Arts & Entertainment
47,memedroid.com,Arts & Entertainment > Humor,2,00:03:37,4.3,55.9%,Arts & Entertainment
48,refresher.sk,Arts & Entertainment > Humor,4,00:00:20,1.7,17.19%,Arts & Entertainment
49,atom.com,Arts & Entertainment > Humor,1,00:03:05,2.69,57.38%,Arts & Entertainment
50,webfail.com,Arts & Entertainment > Humor,6,00:03:02,2.12,55.83%,Arts & Entertainment
1,spotify.com,Arts & Entertainment > Music,=,00:06:30,6.32,39.47%,Arts & Entertainment
2,genius.com,Arts & Entertainment > Music,=,00:02:15,2.87,51.54%,Arts & Entertainment
3,soundcloud.com,Arts & Entertainment > Music,=,00:06:17,5.72,44.6%,Arts & Entertainment
4,npr.org,Arts & Entertainment > Music,=,00:02:01,1.76,68.73%,Arts & Entertainment
5,music.yandex.ru,Arts & Entertainment > Music,=,00:03:56,2.62,51.19%,Arts & Entertainment
6,y2mate.nu,Arts & Entertainment > Music,=,00:04:10,3.36,58.2%,Arts & Entertainment
7,hitmotop.com,Arts & Entertainment > Music,=,00:04:46,2.68,59.8%,Arts & Entertainment
8,ultimate-guitar.com,Arts & Entertainment > Music,=,00:05:21,3.67,51.33%,Arts & Entertainment
9,letras.mus.br,Arts & Entertainment > Music,=,00:02:37,2.02,64.21%,Arts & Entertainment
10,letras.com,Arts & Entertainment > Music,=,00:01:55,1.98,66.53%,Arts & Entertainment
11,discogs.com,Arts & Entertainment > Music,=,00:09:11,13.15,30.18%,Arts & Entertainment
12,ilbe.com,Arts & Entertainment > Music,=,00:14:24,18.51,18.5%,Arts & Entertainment
13,mnuu.nu,Arts & Entertainment > Music,1,00:04:07,2.36,59.56%,Arts & Entertainment
14,radio-canada.ca,Arts & Entertainment > Music,2,00:03:22,2.34,52.72%,Arts & Entertainment
15,last.fm,Arts & Entertainment > Music,2,00:04:39,5.71,43.51%,Arts & Entertainment
16,bandcamp.com,Arts & Entertainment > Music,1,00:04:22,4.88,42.7%,Arts & Entertainment
17,radiko.jp,Arts & Entertainment > Music,1,00:06:08,3.17,38.1%,Arts & Entertainment
18,cadenaser.com,Arts & Entertainment > Music,3,00:02:37,1.9,52.03%,Arts & Entertainment
19,iheart.com,Arts & Entertainment > Music,1,00:02:24,2.88,54.11%,Arts & Entertainment
20,uta-net.com,Arts & Entertainment > Music,1,00:03:05,2.77,63.85%,Arts & Entertainment
21,radiofrance.fr,Arts & Entertainment > Music,1,00:01:43,1.91,50.23%,Arts & Entertainment
22,billboard.com,Arts & Entertainment > Music,20,00:01:29,2.71,60.97%,Arts & Entertainment
23,gaana.com,Arts & Entertainment > Music,=,00:01:13,2.06,47.86%,Arts & Entertainment
24,bandsintown.com,Arts & Entertainment > Music,11,00:01:06,2.3,52.68%,Arts & Entertainment
